# 1 Hybird Metropolis method for Square Ising System
# 2 System size L=1000; N=1000000
# 3 Kernel size KERNEL_L=3; KERNEL_N=9
# 4 Exchange integral J=1
# 5 MC Steps. Heatup=25000; Main=1000000
# 6 T	<E>	<E^2>	<M>	<M^2>	step	seed
1.13	-1.99262000213266	3.97053453502097	0.998092542082552	0.996188726939267	100000	99
1.14	-1.99212408562867	3.96855843877804	0.997961897296106	0.995927953149216	100000	100
1.15	-1.99160297485147	3.96648247998707	0.997824359885888	0.995653458204515	100000	101
1.16	-1.99105492391062	3.96429978537237	0.997679451896716	0.995364294122073	100000	102
1.17	-1.99048218904703	3.96201942519958	0.997527660301271	0.995061438834217	100000	103
1.18	-1.9898822456811	3.9596314370973	0.997368359379649	0.994743650459632	100000	104
1.19	-1.98925406819599	3.9571318386491	0.997201220327124	0.994410280412531	100000	105
1.2	-1.98859614639131	3.95451473003401	0.997025737597355	0.994060328477692	100000	106
1.21	-1.98791014568189	3.9517868498888	0.996842402141992	0.993694782238792	100000	107
1.22	-1.98719317036655	3.94893680505164	0.996650322178565	0.993311872717754	100000	108
1.23	-1.98644434488541	3.94596125084823	0.996449231564738	0.992911079655085	100000	109
1.24	-1.98566546644078	3.94286746727543	0.996239668716772	0.992493486673839	100000	110
1.25	-1.98485138203805	3.9396351382778	0.996020048633079	0.992055946991573	100000	111
1.26	-1.98400420964654	3.93627284100579	0.995790811200167	0.991599350021282	100000	112
1.27	-1.98312299265689	3.93277694911008	0.995551944861172	0.991123685934418	100000	113
1.28	-1.98220608318164	3.92914110911374	0.995302652730333	0.990627382217659	100000	114
1.29	-1.98125190649428	3.92535927900583	0.995042510383702	0.990109609930722	100000	115
1.3	-1.98026125014676	3.92143478930392	0.994771706146424	0.989570760546072	100000	116
1.31	-1.97923150069875	3.91735751334524	0.994489463162485	0.989009306366866	100000	117
1.32	-1.97816196855486	3.9131249634147	0.994195514077122	0.988424735090317	100000	118
1.33	-1.97705355855053	3.90874097332208	0.993890045032351	0.987817437407181	100000	119
1.34	-1.97590322782136	3.90419377540569	0.993571873108159	0.987185083734202	100000	120
1.35	-1.97471187100577	3.89948719477308	0.993241452856756	0.986528601433037	100000	121
1.36	-1.97347749140299	3.89461364161591	0.992898087633078	0.985846631210804	100000	122
1.37	-1.97219878299981	3.88956828350255	0.992541222333964	0.985138097884804	100000	123
1.38	-1.97087499148868	3.88434848841019	0.992170576177858	0.984402473272313	100000	124
1.39	-1.9695053754444	3.87895169322437	0.991785838879999	0.983639172487911	100000	125
1.4	-1.9680902402341	3.87337947570452	0.991386993619041	0.982848194640924	100000	126
1.41	-1.96662611923369	3.86761858961223	0.990972834681797	0.982027184042168	100000	127
1.42	-1.96511242444324	3.86166715034751	0.99054319466713	0.981175846755125	100000	128
